trap_id,code,line_id,trap_number,project_id,cat_trap,inactive,sponsor_id,trap_type_id,to_be_replaced,to_be_maintained,name,trapcode,long,lat,ele,project_id2,easting,northing,line_id3,code4,name5,project_id6,associated_cat_traps,Reserve/Area
3691,HB2,191,2,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
3692,HB3,191,3,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
3693,HB4,191,4,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
3694,HB5,191,5,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
3695,HB6,191,6,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
3696,HB7a,191,7,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
3698,HB7b,191,8,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
3697,HB8,191,9,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,191,HB,HB Line,1,NULL,
1110,KCP02,79,717,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,KCP,Kohi Point Car Park,1,NULL,Kohi Point
1111,KCP03,79,718,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,KCP,Kohi Point Car Park,1,NULL,Kohi Point
3738,KJ00,114,727,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3739,KJ01a,114,729,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3740,KJ02a,114,732,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3741,KJ03a,114,734,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3742,KJ04a,114,736,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3743,KJ05a,114,738,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3746,KJ08a,114,744,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3747,KJ09a,114,746,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3748,KJ10a,114,748,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3749,KJ11a,114,750,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3750,KJ12a,114,752,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3744,KJKat01,114,740,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3745,KJKat02,114,742,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114,KJ,Kohi J Line,1,NULL,Kohi Point
3705,KPG01b,194,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3707,KPG02b,194,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3709,KPG03b,194,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3711,KPG04b,194,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3713,KPG05b,194,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3715,KPG06b,194,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3717,KPG07b,194,14,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3719,KPG08b,194,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3721,KPG09b,194,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3723,KPG10b,194,20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3725,KPG11b,194,22,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3727,KPG12b,194,24,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3729,KPG13b,194,26,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3732,KPG15b,194,29,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3734,KPG16b,194,31,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
3735,KPGKAT,194,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,194,KPG,Kohi Point Gut,1,NULL,Kohi Point
1645,MK30A,25,451,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
1646,MK30B,25,452,1,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2313,MK58,25,480,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
2314,MK59,25,481,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,MK,Mokorua,1,NULL,MOK
