trap_id,code,line_id,trap_number,project_id,cat_trap,inactive,sponsor_id,trap_type_id,to_be_replaced,to_be_maintained,name,latitude,longitude
304,BB03,5,92,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.993002,177.011843
305,BB04,5,93,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.994462,177.011681
306,BB05,5,94,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.995834,177.011399
307,BB06,5,95,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.997088,177.012283
308,BB07,5,96,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.99845,177.011435
309,BB08,5,97,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.999794,177.011723
310,BB09,5,98,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.000961,177.012446
311,BB10,5,99,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.001791,177.013469
312,BB11,5,100,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.003503,177.013657
313,BB12,5,101,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.004551,177.014696
314,BB13,5,102,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.005789,177.015338
315,BB14,5,103,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.007119,177.014909
316,BB15,5,104,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.008469,177.015148
317,BB16,5,105,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.010107,177.014576
2257,BD01,133,824,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9714639,177.0233
2258,BD02,133,825,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9701249,177.023026
2259,BD03,133,826,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9689109,177.023695
2260,BD04,133,827,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9680479,177.023903
2261,BD05,133,828,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9679589,177.025188
2262,BD06,133,829,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9680259,177.026727
2263,BD07,133,830,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9670959,177.027919
2264,BD08,133,831,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9665549,177.029624
2265,BD09,133,832,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9680319,177.029575
2266,BD10,133,833,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9684279,177.02872
2267,BD11,133,834,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9694879,177.029556
2268,BD12,133,835,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9704407,177.0281972
2269,BD13,133,836,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9698419,177.027706
2270,BD14,133,837,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9704223,177.0264346
2271,BD15,133,838,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9704439,177.02554
2272,BD16,133,839,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9711989,177.024798
2273,BD17,133,840,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9720119,177.025068
3737,BD18,133,841,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
457,BN01,30,21,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.98512815,177.0308659
458,BN02,30,20,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.98504794,177.0297396
459,BN03,30,19,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9841142,177.0295724
460,BN04,30,18,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.98339779,177.0287673
461,BN05,30,17,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.9830341,177.0275559
462,BN06,30,16,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.98181504,177.0267172
463,BN07,30,15,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.98061098,177.0268527
464,BN08,30,14,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.98116142,177.0262235
465,BN09,30,13,1,NULL,NULL,1061,1,NULL,NULL,NULL,-37.98078851,177.0256778
466,BN10,30,12,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.98009683,177.0258489
467,BN11,30,11,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97933718,177.0264363
468,BN12,30,10,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97823211,177.02715
469,BN13,30,9,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97839128,177.0263574
470,BN14,30,8,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97878909,177.0256426
471,BN15,30,7,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97824393,177.0251995
472,BN16,30,6,1,NULL,NULL,1047,2,NULL,NULL,NULL,-37.97768913,177.0244206
473,BN17,30,5,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97664274,177.0240246
474,BN18,30,4,1,NULL,NULL,1047,1,NULL,NULL,NULL,-37.97667165,177.0234793
475,BN19,30,3,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97609313,177.0223923
476,BN20,30,2,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97556625,177.0219389
477,BN21,30,1,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.97491497,177.0206585
214,BS01,1,1,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.985382,177.032162
215,BS02,1,2,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.987062,177.031485
216,BS03,1,3,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.98862,177.031501
217,BS04,1,4,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.98999,177.031602
218,BS05,1,5,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.991812,177.030994
219,BS06,1,6,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.993116,177.031795
220,BS07,1,7,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.994437,177.032664
221,BS08,1,8,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.996043,177.032613
222,BS09,1,9,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.997053,177.033248
223,BS10,1,10,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.997993,177.034761
224,BS11,1,11,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.998723,177.036227
225,BS12,1,12,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.99993,177.037003
226,BS13,1,13,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.000449,177.038557
227,BS14,1,14,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.999676,177.040029
228,BS15,1,15,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.000103,177.04152
229,BS16,1,16,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.000854,177.042789
230,BS17,1,17,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.001697,177.044172
231,BS18,1,18,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.001511,177.045863
232,BS19,1,19,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.002394,177.046614
233,BS20,1,20,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.001669,177.048171
234,BS21,1,21,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-38.000036,177.049283
235,BS22,1,22,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.999575,177.050683
236,BS23,1,23,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.998537,177.052241
237,BS24,1,24,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.99786,177.053219
238,BS25,1,25,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.997744,177.054834
239,BS26,1,26,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.997563,177.056508
3736,BS27,1,27,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
977,CAT01,63,667,1,1,NULL,NULL,4,NULL,NULL,NULL,,
978,CAT02,63,668,1,1,NULL,NULL,4,NULL,NULL,NULL,,
979,CAT03,63,669,1,1,NULL,NULL,4,NULL,NULL,NULL,,
980,CAT04,63,670,1,1,NULL,NULL,4,NULL,NULL,NULL,,
981,CAT05,63,671,1,1,NULL,NULL,4,NULL,NULL,NULL,,
1719,CAT06,63,672,1,1,NULL,NULL,4,NULL,NULL,NULL,,
1720,CAT07,63,673,1,1,NULL,NULL,4,NULL,NULL,NULL,,
1721,CAT08,63,674,1,1,NULL,NULL,4,NULL,NULL,NULL,,
1722,CAT09,63,675,1,1,NULL,NULL,4,NULL,NULL,NULL,,
1806,CAT10,63,676,1,1,NULL,NULL,4,NULL,NULL,NULL,,
1807,CAT11,63,677,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2010,CAT12,63,678,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2011,CAT13,63,679,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2012,CAT14,63,680,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2013,CAT15,63,681,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2014,CAT16,63,682,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2027,CAT17,63,683,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2028,CAT18,63,684,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2052,CAT19,63,685,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2229,CAT20,63,686,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2230,CAT21,63,687,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2231,CAT22,63,688,1,1,NULL,NULL,4,NULL,NULL,NULL,,
2096,CD01,128,816,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.961636,177.025489
2097,CD02,128,817,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.962194,177.024059
2098,CD03,128,818,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.963554,177.023771
2099,CD04,128,819,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.964226,177.024112
2100,CD05,128,820,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.966265,177.024343
2101,CD06,128,821,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.966371,177.026182
2102,CD07,128,822,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.966151,177.027833
389,CF01,29,527,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.966937,177.033888
390,CF02,29,528,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.96666,177.035503
391,CF03,29,529,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.966339,177.036666
392,CF04,29,530,1,NULL,NULL,1006,2,NULL,NULL,NULL,-37.966849,177.037622
393,CF05,29,531,1,NULL,NULL,NULL,2,NULL,NULL,NULL,-37.966525,177.038925
71,CR01,28,511,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.977425,177.027844
72,CR02,28,512,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.978212,177.029143
73,CR03,28,513,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.978055,177.030081
74,CR04,28,514,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.978201,177.031191
75,CR05,28,515,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.97755,177.032017
76,CR06,28,516,1,NULL,NULL,1016,1,NULL,NULL,NULL,-37.976791,177.032663
77,CR07,28,517,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.976012,177.033058
78,CR08,28,518,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.9754,177.033883
79,CR09,28,519,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.974859,177.034702
80,CR10,28,520,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.974774,177.035919
81,CR11,28,521,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.974063,177.03656
82,CR12,28,522,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.973338,177.037299
83,CR13,28,523,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.972515,177.037922
84,CR14,28,524,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.972005,177.038572
85,CR15,28,525,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.97194,177.039674
86,CR16,28,526,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.971197,177.040262
370,CS01,9,148,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.975062,177.022924
371,CS02,9,149,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.975949,177.023784
372,CS03,9,150,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.976637,177.025032
373,CS04,9,151,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.977056,177.026153
374,CS05,9,152,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.976309,177.026881
478,CS05a,9,153,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.976051,177.027697
375,CS06,9,154,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.975804,177.028301
479,CS06a,9,155,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.975644,177.028876
377,CS07,9,156,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.974941,177.029982
480,CS07a,9,157,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.974681,177.030264
376,CS08,9,158,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.973913,177.031269
378,CS09,9,159,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.972316,177.033269
379,CS10,9,160,1,NULL,NULL,NULL,1,NULL,NULL,NULL,-37.971667,177.035006
