deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
f1dfd7e6-5d15-4ab4-b2bc-508d999c6ac7,62a29d0e-ea64-4820-b369-053ba7964213,OH 1_3,-37.968095,177.026276,,2024-01-10T14:08:01+00:00,2024-01-31T12:06:33+00:00,,,,300,0.40,,,,0.80,,,,,Summer,,
f1eccd50-9c41-4de4-9e68-50ac5177f3fd,2da84816-9255-4f55-a79e-c86b1ba93122,MK 1_1,-37.972594,177.006403,,2025-08-15T09:36:50+00:00,2025-09-05T08:30:00+00:00,Gaye Payze,,,300,,,,,,,,,,Winter,,
f2897750-0f49-437a-9c05-197a707172d3,4a1c9790-6e39-45d0-ba61-f0e06f84fadb,KP 3_1,-37.956977,177.002874,,2025-01-31T11:30:06+00:00,2025-02-21T13:17:22+00:00,,,,300,,,,180,,,,,,Summer,,christie deployed
f2b87874-f9cb-4276-a9b0-cf5e9bf77a37,43bfeaf6-a8b5-41b2-884b-763476be3ebc,MK 1_4,-37.969376,177.000965,,2025-05-02T11:30:00+00:00,2025-05-23T09:48:08+00:00,Gaye Payze,,,300,,,,,,,,,,Autumn,,"Camera date/time was out of whack, had to time-shift all images per Gaye advice on camera pickup time"
f4700bd8-1663-44b2-a63e-f090e3b104a1,ecb9b699-88fd-4147-ac3a-602231586416,OH 4_4,-37.990332,177.024976,,2024-01-10T10:27:51+00:00,2024-01-31T10:37:41+00:00,Thomas Armstrong,,,300,0.40,,,,0.80,,,,,Summer,,
f5434ef4-a736-445e-842a-0ebb287d5bb6,59ccc7f7-521a-43c5-8269-b5c6db7fea31,KP 1_3,-37.945686,177.015393,,2024-02-02T10:22:57+00:00,2024-02-23T09:56:51+00:00,Thomas Armstrong,,,300,,,,,,,,,,Summer,,
f5f1ed73-139b-410d-9d1e-6cd110526bcc,995c5199-b74e-4112-9689-91763a9f3ab9,KP 2_4,-37.953001,177.009267,,2025-08-15T09:38:14+00:00,2025-09-05T09:20:04+00:00,Thomas Armstrong,,,300,,,,,,,,,,Winter,,
f5f9f773-6419-4b8d-aee0-cc03f816262c,014a85a9-e84c-4ecf-9940-0250bb3a3095,OH 3_4,-37.980885,177.024662,,2025-05-01T11:53:00+00:00,2025-05-22T12:00:19+00:00,Blair George,,,300,,,,,,,,,,Autumn,,"Deployed Alison, Pickup Christie G"
f647796f-3d32-41f6-8541-c2ba5b882957,ab3c9d0b-4aa1-4ded-80c6-b495365735db,OH 2_3,-37.978033,177.035673,,2023-10-17T10:45:21+00:00,2023-11-07T10:29:15+00:00,Blair George,,,300,,,,,,,,,,Spring,,
f741a7f6-ca8e-467f-85e9-f7f925502169,4b204aa4-5311-4e07-9431-5389b83155e6,OH 1_4,-37.966774,177.026849,,2024-10-09T11:30:00+00:00,2024-10-30T10:45:02+00:00,Hilary Sheaff,23ea8c83-f32c-4d87-a08f-9d727fc44eb6,Browning-BTC-5PXD,300,,,,,,,,,,Spring,,
f7475cc3-f106-4fac-9481-062095c0d70d,1fc9962b-1239-4484-991b-ce7eea04c459,OH 3_2,-37.980795,177.019702,,2024-01-10T10:20:00+00:00,2024-01-31T09:19:55+00:00,Hilary Sheaff,,,300,,,,,,,,,,Summer,,Custom EXIF image added to record correct start/end date
f75e3294-372e-45ff-8dd1-0b012603f46c,59ccc7f7-521a-43c5-8269-b5c6db7fea31,KP 1_3,-37.945686,177.015393,,2023-11-09T10:09:03+00:00,2023-11-30T09:49:26+00:00,Blair George,,,300,,,,225,,,,,,Spring,,
fa98c97b-1de5-483c-9d27-43d4991966fa,c3a4d1bc-7314-457d-a30c-6aac2c54dae7,KP 2_3,-37.954119,177.011066,,2025-01-31T14:45:35+00:00,2025-02-21T12:13:33+00:00,Thomas Armstrong,,,300,,,,180,,,,,,Summer,,null
fcabf1ca-cf11-4014-95bd-beff64a7b13c,c3a4d1bc-7314-457d-a30c-6aac2c54dae7,KP 2_3,-37.954119,177.011066,,2025-08-15T13:23:05+00:00,2025-09-05T12:18:24+00:00,Thomas Armstrong,,,300,,,,,,,,,,Winter,,
fd16718a-190b-403b-bf76-d0cc5d95a449,f3ea63d1-daba-448f-a1bd-e3dca498255a,OH 4_3,-37.990415,177.022671,,2026-02-11T10:45:41+00:00,2026-03-04T10:16:36+00:00,Thomas Armstrong,,,300,,,,,,,,,,Summer,,
fea62be4-b103-45d5-892d-dc07cae416c6,aac31d23-c4e7-4114-ac4c-921562eff810,KP 3_3,-37.953579,177.004296,,2025-11-14T09:45:03+00:00,2025-12-05T08:58:07+00:00,Blair George,,,300,,,,,,,,,,Spring,,
